rank,name,repo,github_url,category,language,stars,forks,open_issues,created,last_update,days_since_update,trend_score,trend_rank,priority,phase,editorial_pick,pub_dev,youtube_signal,yt_search,topics,description,planned_title,slug,status
111,flutter-webrtc,flutter-webrtc/flutter-webrtc,https://github.com/flutter-webrtc/flutter-webrtc,Library/Tooling,C++,4475,1404,690,2018-03-07,2026-07-06,10,4475,82,High,P2,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-webrtc,"android, desktop, flutter, ios, sip, voip",WebRTC plugin for Flutter Mobile/Desktop/Web,flutter-webrtc: a Flutter developer's guide,flutter-webrtc,Planned
112,hive,isar/hive,https://github.com/isar/hive,Backend/Data,Dart,4386,451,569,2019-07-08,2024-06-28,748,1096,207,High,P5,Yes,https://pub.dev/packages/hive,Low,https://www.youtube.com/results?search_query=flutter+hive,"dart, database, encryption, flutter, hive, key-value",Lightweight and blazing fast key-value database written in pure Dart.,Data & backend in Flutter using hive,hive,Planned
113,open-location-code,google/open-location-code,https://github.com/google/open-location-code,Library/Tooling,Java,4335,528,56,2014-09-30,2026-03-30,108,2818,113,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+open-location-code,"c, cplusplus, dart, geo, golang, gps","Open Location Code is a library to generate short codes, called ""plus codes"", that can be used as digital addresses where street addresses don't exist.",open-location-code: a Flutter developer's guide,open-location-code,Planned
114,open-apps,tortuvshin/open-apps,https://github.com/tortuvshin/open-apps,UI/Components,Astro,4332,787,5,2017-08-29,2026-07-16,0,4332,84,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+open-apps,"android, android-app, application, awesome-list, dart, flutter","A curated, self-refreshing directory of real open-source application codebases - built for developers who want to learn from production apps and find projects w",Build better Flutter UI with open-apps,open-apps,Planned
115,flutter_twitter_clone,TheAlphamerc/flutter_twitter_clone,https://github.com/TheAlphamerc/flutter_twitter_clone,Backend/Data,Dart,4239,1160,36,2019-12-25,2024-07-31,715,1060,210,Medium,P5,,https://pub.dev/packages/flutter_twitter_clone,Low,https://www.youtube.com/results?search_query=flutter+flutter-twitter-clone,"firebase-auth, firebase-realtime-database, firebase-storage, flutter, flutter-app, flutter-apps",Fully functional Twitter clone built in  flutter framework using Firebase realtime database and storage,Data & backend in Flutter using flutter_twitter_clone,flutter-twitter-clone,Planned
116,dart-sass,sass/dart-sass,https://github.com/sass/dart-sass,Library/Tooling,Dart,4201,377,67,2016-10-31,2026-07-10,6,4201,86,High,P2,,,Low,https://www.youtube.com/results?search_query=flutter+dart-sass,"css-preprocessor, dart, dart-sass, sass","The reference implementation of Sass, written in Dart.",dart-sass: a Flutter developer's guide,dart-sass,Planned
117,GitJournal,GitJournal/GitJournal,https://github.com/GitJournal/GitJournal,Library/Tooling,Dart,4187,301,132,2019-01-10,2026-05-26,51,3559,93,High,P2,,,Low,https://www.youtube.com/results?search_query=flutter+gitjournal,"git, google-keep, journal, knowledge-graph, knowledge-management, markdown",Mobile first Note Taking integrated with Git,GitJournal: a Flutter developer's guide,gitjournal,Planned
118,wsa_pacman,alesimula/wsa_pacman,https://github.com/alesimula/wsa_pacman,UI/Components,Dart,4167,863,61,2021-11-01,2023-12-22,937,1042,211,Medium,P5,,https://pub.dev/packages/wsa_pacman,Medium,https://www.youtube.com/results?search_query=flutter+wsa-pacman,,A GUI package manager and package installer for Windows Subsystem for Android (WSA),Build better Flutter UI with wsa_pacman,wsa-pacman,Planned
119,finamp,finamp-app/finamp,https://github.com/finamp-app/finamp,App/Template,Dart,4121,283,347,2020-08-31,2026-07-10,6,4121,87,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+finamp,"flutter, hacktoberfest, jellyfin, jellyfin-client, music",An open source Jellyfin music player,Inside finamp: an open-source Flutter app worth studying,finamp,Planned
120,openpencil,ZSeven-W/openpencil,https://github.com/ZSeven-W/openpencil,AI/ML,Rust,4101,405,10,2026-02-17,2026-07-16,0,4101,88,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+openpencil,"agent, agent-team, ai, claude, claude-code, codex",The world's first open-source AI-native vector design tool and the first to feature concurrent Agent Teams. Design-as-Code. Turn prompts into UI directly on the,Add AI to your Flutter app with openpencil,openpencil,Planned
121,flutter_easy_refresh,xuelongqy/flutter_easy_refresh,https://github.com/xuelongqy/flutter_easy_refresh,UI/Components,Dart,4067,659,59,2018-11-28,2026-06-14,32,3457,95,High,P2,,https://pub.dev/packages/flutter_easy_refresh,Medium,https://www.youtube.com/results?search_query=flutter+flutter-easy-refresh,"easy-refresh, flutter, load-more, refresh",A flutter widget that provides pull-down refresh and pull-up load.,Build better Flutter UI with flutter_easy_refresh,flutter-easy-refresh,Planned
122,Musify,gokadzev/Musify,https://github.com/gokadzev/Musify,App/Template,Dart,4064,371,30,2021-12-05,2026-07-16,0,4064,90,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+musify,"android-app, android-application, android-music-player, fdroid, flutter, flutter-app",Unlock the full potential of music: Stream effortlessly with one app!,Inside Musify: an open-source Flutter app worth studying,musify,Planned
123,flutter_screenutil,OpenFlutter/flutter_screenutil,https://github.com/OpenFlutter/flutter_screenutil,Library/Tooling,Dart,4030,510,33,2018-09-20,2025-06-23,388,1008,214,Medium,P5,,https://pub.dev/packages/flutter_screenutil,Low,https://www.youtube.com/results?search_query=flutter+flutter-screenutil,"dart, flutter, scale, screen, screenutil","Flutter screen adaptation, font adaptation, get screen information",flutter_screenutil: a Flutter developer's guide,flutter-screenutil,Planned
124,isar,isar/isar,https://github.com/isar/isar,Backend/Data,Dart,4020,606,185,2020-06-10,2025-06-14,397,1005,215,High,P5,Yes,https://pub.dev/packages/isar,Low,https://www.youtube.com/results?search_query=flutter+isar,"android, cross-platform, dart, database, flutter, ios","Extremely fast, easy to use, and fully async NoSQL database for Flutter",Data & backend in Flutter using isar,isar,Planned
125,flutter-folio,gskinnerTeam/flutter-folio,https://github.com/gskinnerTeam/flutter-folio,App/Template,Dart,3952,779,42,2021-03-02,2022-08-30,1416,988,217,Medium,P5,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-folio,,"A platform adaptive Flutter app for desktop, mobile and web.",Inside flutter-folio: an open-source Flutter app worth studying,flutter-folio,Planned
126,wsl2-distro-manager,bostrot/wsl2-distro-manager,https://github.com/bostrot/wsl2-distro-manager,UI/Components,Dart,3942,177,22,2021-09-17,2026-04-14,93,2562,119,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+wsl2-distro-manager,"collaborate, docker, flutter, github, gui, rootfs",A GUI to quickly manage your WSL2 instances,Build better Flutter UI with wsl2-distro-manager,wsl2-distro-manager,Planned
127,awesome-flutter-cn,crazycodeboy/awesome-flutter-cn,https://github.com/crazycodeboy/awesome-flutter-cn,Learning/Awesome,,3813,447,8,2018-06-21,2023-05-21,1152,953,220,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+awesome-flutter-cn,"android, flutter, flutter-app, flutter-articles, flutter-components, flutter-navigation",一个很棒的Flutter学习资源，官方教程，插件，工具，文章，App，视频教程等的资源列表,awesome-flutter-cn: a curated shortcut to mastering Flutter,awesome-flutter-cn,Planned
128,ion,ionorg/ion,https://github.com/ionorg/ion,Library/Tooling,Go,3803,511,33,2019-03-11,2023-10-01,1019,951,221,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+ion,"flutter, golang, js, media, server, sfu",Real-Distributed  RTC System by pure Go and Flutter,ion: a Flutter developer's guide,ion,Planned
129,flutter-ui-nice,FlutterOpen/flutter-ui-nice,https://github.com/FlutterOpen/flutter-ui-nice,Animation,Dart,3801,604,9,2018-12-22,2023-05-16,1157,950,222,Medium,P5,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-ui-nice,"animation, api, app, course, demo, example",More than 130+ pages in this beautiful app and more than 45 developers has contributed to it.,Beautiful Flutter animations with flutter-ui-nice,flutter-ui-nice,Planned
130,fireship.io,fireship-io/fireship.io,https://github.com/fireship-io/fireship.io,Backend/Data,Svelte,3760,1328,462,2019-01-07,2025-07-08,373,940,223,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+fireship-io,"firebase, flutter, javascript",Build and ship your app faster  https://fireship.io,Data & backend in Flutter using fireship.io,fireship-io,Planned
131,flutter_inappwebview,pichillilorenzo/flutter_inappwebview,https://github.com/pichillilorenzo/flutter_inappwebview,App/Template,Dart,3741,2088,220,2018-09-14,2026-02-10,156,2432,123,High,P3,,https://pub.dev/packages/flutter_inappwebview,Medium,https://www.youtube.com/results?search_query=flutter+flutter-inappwebview,"android, browser, cookie-manager, desktop, flutter, flutter-package","A Flutter plugin that allows you to add an inline webview, to use a headless webview, and to open an in-app browser window.",Inside flutter_inappwebview: an open-source Flutter app worth studying,flutter-inappwebview,Planned
132,fluro,lukepighetti/fluro,https://github.com/lukepighetti/fluro,Navigation,Dart,3713,409,43,2017-04-25,2023-03-22,1212,928,224,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+fluro,"flutter, flutter-routing, parameters, router, routing","Fluro is a Flutter routing library that adds flexible routing options like wildcards, named parameters and clear route definitions.",Flutter navigation done right with fluro,fluro,Planned
133,inKino,roughike/inKino,https://github.com/roughike/inKino,App/Template,Dart,3679,698,28,2018-02-21,2022-03-30,1569,920,226,Medium,P5,,,Medium,https://www.youtube.com/results?search_query=flutter+inkino,"angular, angulardart, cross-platform, dart, dartlang, flutter",A multiplatform Dart movie app with 40% of code sharing between Flutter and the Web.,Inside inKino: an open-source Flutter app worth studying,inkino,Planned
134,mangayomi,kodjodevf/mangayomi,https://github.com/kodjodevf/mangayomi,Animation,Dart,3586,104,121,2023-04-03,2026-07-16,0,3586,92,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+mangayomi,"android, anime, anime-streaming, dart, dart-eval, flutter","Free and open source application for reading manga, novels, and watching animes available on Android, iOS, macOS, Linux and Windows",Beautiful Flutter animations with mangayomi,mangayomi,Planned
135,flutter_swiper,best-flutter/flutter_swiper,https://github.com/best-flutter/flutter_swiper,UI/Components,Dart,3531,729,238,2018-05-19,2023-04-23,1180,883,233,Medium,P5,,https://pub.dev/packages/flutter_swiper,Medium,https://www.youtube.com/results?search_query=flutter+flutter-swiper,"carousel, carousel-plugin, flutter, flutter-plugin, flutter-widget, swiper","The best swiper for flutter , with multiple layouts, infinite loop. Compatible with Android & iOS.",Build better Flutter UI with flutter_swiper,flutter-swiper,Planned
136,flutter-netease-music,boyan01/flutter-netease-music,https://github.com/boyan01/flutter-netease-music,App/Template,,3461,851,11,2018-11-24,2024-01-25,903,865,236,Medium,P5,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-netease-music,"android, android-application, dart, flutter, flutter-apps, music-player",flutter music player application. (仿网易云音乐),Inside flutter-netease-music: an open-source Flutter app worth studying,flutter-netease-music,Planned
137,kitchenowl,TomBursch/kitchenowl,https://github.com/TomBursch/kitchenowl,Library/Tooling,Dart,3455,211,320,2021-02-03,2026-06-28,18,3455,96,High,P2,,,Low,https://www.youtube.com/results?search_query=flutter+kitchenowl,"android, cross-platform, expense-tracker, flutter, grocery-list, ios",KitchenOwl is a self-hosted grocery list and recipe manager. The backend is made with Flask and the frontend with Flutter. Easily add items to your shopping lis,kitchenowl: a Flutter developer's guide,kitchenowl,Planned
138,flutter_ecommerce_app,TheAlphamerc/flutter_ecommerce_app,https://github.com/TheAlphamerc/flutter_ecommerce_app,UI/Components,Dart,3453,1271,3,2020-03-01,2022-02-10,1617,863,237,Medium,P5,,https://pub.dev/packages/flutter_ecommerce_app,Medium,https://www.youtube.com/results?search_query=flutter+flutter-ecommerce-app,"flutter, flutter-app, flutter-apps, flutter-demo, flutter-examples, flutter-ui",E-Commerce App built in flutter,Build better Flutter UI with flutter_ecommerce_app,flutter-ecommerce-app,Planned
139,fluent_ui,bdlukaa/fluent_ui,https://github.com/bdlukaa/fluent_ui,UI/Components,Dart,3444,505,45,2020-12-19,2026-07-08,8,3444,97,High,P2,,https://pub.dev/packages/fluent_ui,Medium,https://www.youtube.com/results?search_query=flutter+fluent-ui,"dart, fluent-design, fluent-ui, flutter, flutter-favorite, uwp",Microsoft's WinUI3 in Flutter.,Build better Flutter UI with fluent_ui,fluent-ui,Planned
140,bruno,LianjiaTech/bruno,https://github.com/LianjiaTech/bruno,UI/Components,Dart,3442,513,86,2021-12-07,2025-01-10,552,860,238,Medium,P5,,,Medium,https://www.youtube.com/results?search_query=flutter+bruno,"dart, flutter, ui-design, uikit",An enterprise-class package of Flutter components for mobile applications. ( Bruno 是基于一整套设计体系的 Flutter 组件库。),Build better Flutter UI with bruno,bruno,Planned
141,agent-device,callstack/agent-device,https://github.com/callstack/agent-device,AI/ML,TypeScript,3418,190,48,2026-01-30,2026-07-16,0,3418,99,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+agent-device,"adb, agentic-ai, agents, ai-agents, android-emulator, automation",CLI to control iOS and Android devices for AI agents,Add AI to your Flutter app with agent-device,agent-device,Planned
142,gsy_flutter_demo,CarGuo/gsy_flutter_demo,https://github.com/CarGuo/gsy_flutter_demo,UI/Components,Dart,3413,539,7,2019-06-23,2026-04-09,98,2218,134,High,P3,,https://pub.dev/packages/gsy_flutter_demo,Medium,https://www.youtube.com/results?search_query=flutter+gsy-flutter-demo,"flutter, flutter-demo, flutter-examples, flutter-plugin, flutter-ui, flutter-widget",Flutter 不同于 GSYGithubAppFlutter 完整项目，本项目将逐步完善各种 Flutter 独立例子，方便新手学习上手和小问题方案解决。  目前开始逐步补全完善，主要提供一些有用或者有趣的例子，如果你也有好例子，欢迎提交 PR 。,Build better Flutter UI with gsy_flutter_demo,gsy-flutter-demo,Planned
143,FlutterEbookApp,JideGuru/FlutterEbookApp,https://github.com/JideGuru/FlutterEbookApp,UI/Components,Dart,3330,921,16,2020-01-10,2024-08-07,708,832,240,Medium,P5,,,Medium,https://www.youtube.com/results?search_query=flutter+flutterebookapp,"flutter, flutter-app, flutter-apps, flutter-book, flutter-ui",A simple Flutter app to Read and Download eBooks.,Build better Flutter UI with FlutterEbookApp,flutterebookapp,Planned
144,flutter_hooks,rrousselGit/flutter_hooks,https://github.com/rrousselGit/flutter_hooks,UI/Components,Dart,3330,194,31,2018-11-30,2026-05-27,50,2830,112,High,P3,Yes,https://pub.dev/packages/flutter_hooks,Medium,https://www.youtube.com/results?search_query=flutter+flutter-hooks,"code-reuse, dart, flutter, hacktoberfest, hook, widget",React hooks for Flutter. Hooks are a new kind of object that manages a Widget life-cycles. They are used to increase code sharing between widgets and as a compl,Build better Flutter UI with flutter_hooks,flutter-hooks,Planned
145,kelivo,Chevey339/kelivo,https://github.com/Chevey339/kelivo,AI/ML,Dart,3282,331,361,2025-08-29,2026-07-15,1,3282,100,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+kelivo,"ai, android, chatbot, chatbox, flutter, flutter-apps",A Flutter LLM Chat Client. Support Mobile & Desktop.,Add AI to your Flutter app with kelivo,kelivo,Planned
146,graphql-flutter,zino-hofmann/graphql-flutter,https://github.com/zino-hofmann/graphql-flutter,Backend/Data,Dart,3271,641,163,2018-06-08,2026-07-05,11,3271,101,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+graphql-flutter,"client, dart, flutter, graphql","A GraphQL client for Flutter, bringing all the features from a modern GraphQL client to one easy to use package.",Data & backend in Flutter using graphql-flutter,graphql-flutter,Planned
147,drift,simolus3/drift,https://github.com/simolus3/drift,Backend/Data,Dart,3240,460,208,2019-02-03,2026-07-15,1,3240,102,High,P3,Yes,https://pub.dev/packages/drift,Low,https://www.youtube.com/results?search_query=flutter+drift,"dart, dart-build-system, flutter, persistence, reactive, sqlite","Drift is an easy to use, reactive, typesafe persistence library for Dart & Flutter.",Data & backend in Flutter using drift,drift,Planned
148,serverpod,serverpod/serverpod,https://github.com/serverpod/serverpod,UI/Components,Dart,3225,368,557,2021-05-22,2026-07-15,1,3225,103,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+serverpod,,"Serverpod is a next-generation app and web server, explicitly built for the Flutter and Dart ecosystem.",Build better Flutter UI with serverpod,serverpod,Planned
149,flutter_staggered_grid_view,letsar/flutter_staggered_grid_view,https://github.com/letsar/flutter_staggered_grid_view,Library/Tooling,Dart,3218,508,91,2018-02-09,2024-06-05,771,804,243,Medium,P5,,https://pub.dev/packages/flutter_staggered_grid_view,Low,https://www.youtube.com/results?search_query=flutter+flutter-staggered-grid-view,"dart, flutter, staggeredgrid",A Flutter staggered grid view,flutter_staggered_grid_view: a Flutter developer's guide,flutter-staggered-grid-view,Planned
150,flutter_spinkit,jogboms/flutter_spinkit,https://github.com/jogboms/flutter_spinkit,Animation,Dart,3143,322,16,2018-06-25,2026-06-22,24,3143,104,High,P3,,https://pub.dev/packages/flutter_spinkit,Medium,https://www.youtube.com/results?search_query=flutter+flutter-spinkit,"android, animation, animation-library, dart, dartlang, flutter",✨ A collection of loading indicators animated with flutter. Heavily Inspired by http://tobiasahlin.com/spinkit.,Beautiful Flutter animations with flutter_spinkit,flutter-spinkit,Planned
151,Fable,fable-compiler/Fable,https://github.com/fable-compiler/Fable,Library/Tooling,F#,3133,329,173,2016-01-11,2026-07-16,0,3133,105,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+fable,"beam, dart, erlang, fsharp, javascript, python","F# to JavaScript, TypeScript, Python, Rust, Erlang and Dart Compiler",Fable: a Flutter developer's guide,fable,Planned
152,china-dictatorship,cirosantilli/china-dictatorship,https://github.com/cirosantilli/china-dictatorship,AI/ML,HTML,3101,295,829,2015-04-02,2026-02-05,161,2016,146,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+china-dictatorship,"996, censorship, censorship-circumvention, china, china-dictatorship, chinese-communist-party",反中共政治宣传库。Anti Chinese government propaganda. 住在中国真名用户的网友请别给星星，不然你要被警察请喝茶。常见问答集，新闻集和饭店和音乐建议。卐习万岁卐。冠状病毒审查郝海东新疆改造中心六四事件法轮功 996.ICU709大抓捕巴拿马文件邓家贵低端人口西藏骚乱。Friends wh,Add AI to your Flutter app with china-dictatorship,china-dictatorship,Planned
153,website,flutter/website,https://github.com/flutter/website,Library/Tooling,Dart,3099,3468,94,2015-09-03,2026-07-16,0,3099,106,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+website,"dart, flutter, website",Flutter documentation web site,website: a Flutter developer's guide,website,Planned
154,Harmony-Music,anandnet/Harmony-Music,https://github.com/anandnet/Harmony-Music,App/Template,Dart,3047,345,323,2023-02-05,2025-12-08,220,1371,185,Medium,P4,,,Medium,https://www.youtube.com/results?search_query=flutter+harmony-music,"android-app, flutter, flutter-app, flutter-music-app, linux, music",A cross platform App for streaming Music,Inside Harmony-Music: an open-source Flutter app worth studying,harmony-music,Planned
155,AAA,Psyhackological/AAA,https://github.com/Psyhackological/AAA,App/Template,,3000,68,11,2021-11-15,2026-02-05,161,1950,151,Medium,P4,,,Medium,https://www.youtube.com/results?search_query=flutter+aaa,"alternatives, android, android-app, apk, apps, awesome",:iphone: Curated list of THE BEST FOSS Android apps to maximize your freedom & privacy!,Inside AAA: an open-source Flutter app worth studying,aaa,Planned
156,awesome-open-source-flutter-apps,fluttergems/awesome-open-source-flutter-apps,https://github.com/fluttergems/awesome-open-source-flutter-apps,Learning/Awesome,Dart,2998,450,12,2024-04-27,2026-05-17,60,2548,120,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+awesome-open-source-flutter-apps,"flutter, flutter-app, flutter-apps, flutter-desktop, flutter-examples, flutter-project",A curated list of awesome open source Flutter apps,awesome-open-source-flutter-apps: a curated shortcut to mastering Flutter,awesome-open-source-flutter-apps,Planned
157,fluffychat,krille-chan/fluffychat,https://github.com/krille-chan/fluffychat,App/Template,Dart,2977,584,544,2023-07-13,2026-07-16,0,2977,107,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+fluffychat,"app, dart, flutter, matrix",The cutest instant messenger in the [matrix],Inside fluffychat: an open-source Flutter app worth studying,fluffychat,Planned
158,flutter-quill,singerdmx/flutter-quill,https://github.com/singerdmx/flutter-quill,UI/Components,Dart,2911,1045,355,2020-12-14,2026-06-29,17,2911,109,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-quill,"dartlang, editor, flutter, flutter-apps, flutter-examples, flutter-package",Rich text editor for Flutter,Build better Flutter UI with flutter-quill,flutter-quill,Planned
159,flutter-osc,yubo725/flutter-osc,https://github.com/yubo725/flutter-osc,App/Template,Dart,2887,566,9,2018-05-07,2021-08-07,1804,722,249,Medium,P5,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-osc,"android, app, flutter, ios, mobile-app",基于Google Flutter的开源中国客户端，支持Android和iOS。,Inside flutter-osc: an open-source Flutter app worth studying,flutter-osc,Planned
160,plezy,edde746/plezy,https://github.com/edde746/plezy,UI/Components,Dart,2886,207,134,2025-10-21,2026-07-15,1,2886,110,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+plezy,"cross-platform, flutter, jellyfin, jellyfin-client, plex, plex-api",Modern cross-platform Plex & Jellyfin client built with Flutter,Build better Flutter UI with plezy,plezy,Planned
161,flutter_hrlweibo,huangruiLearn/flutter_hrlweibo,https://github.com/huangruiLearn/flutter_hrlweibo,Library/Tooling,Dart,2864,687,12,2020-05-04,2024-05-22,785,716,250,Medium,P5,,https://pub.dev/packages/flutter_hrlweibo,Low,https://www.youtube.com/results?search_query=flutter+flutter-hrlweibo,"chat, dart, flutter, weibo","Flutter仿微博客户端,  包含首页、视频、发现、消息(仿微博聊界面)及个人中心模块",flutter_hrlweibo: a Flutter developer's guide,flutter-hrlweibo,Planned
162,flutter_slidable,letsar/flutter_slidable,https://github.com/letsar/flutter_slidable,Library/Tooling,Dart,2854,644,176,2018-07-15,2025-09-27,292,1284,191,Medium,P4,,https://pub.dev/packages/flutter_slidable,Low,https://www.youtube.com/results?search_query=flutter+flutter-slidable,"dart, flutter, slide-menu, swipe-menu",A Flutter implementation of slidable list item with directional slide actions.,flutter_slidable: a Flutter developer's guide,flutter-slidable,Planned
163,apidash,foss42/apidash,https://github.com/foss42/apidash,AI/ML,Dart,2850,968,231,2023-03-04,2026-07-10,6,2850,111,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+apidash,"api, api-client, api-testing, dart, developer-tools, flutter",API Dash is a beautiful AI-powered open-source cross-platform (Desktop & Mobile) API Client built using Flutter which can help you easily create & customize you,Add AI to your Flutter app with apidash,apidash,Planned
164,flutter-shadcn-ui,nank1ro/flutter-shadcn-ui,https://github.com/nank1ro/flutter-shadcn-ui,UI/Components,Dart,2751,187,34,2024-01-05,2026-06-20,26,2751,114,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-shadcn-ui,"flutter, shadcn, shadcn-ui, shadcnui, ui","shadcn-ui ported in Flutter. Awesome UI components for Flutter, fully customizable.",Build better Flutter UI with flutter-shadcn-ui,flutter-shadcn-ui,Planned
165,flutter-do,LaoMengFlutter/flutter-do,https://github.com/LaoMengFlutter/flutter-do,App/Template,Dart,2742,547,54,2020-04-02,2023-03-31,1203,686,253,Medium,P6,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-do,,包含350多个组件用法、组件继承关系图、40多个 loading 组件，App升级、验证码、弹幕、音乐字幕 4个插件，一个小而全完整的App项目。,Inside flutter-do: an open-source Flutter app worth studying,flutter-do,Planned
166,Fair,wuba/Fair,https://github.com/wuba/Fair,UI/Components,Dart,2738,321,66,2020-12-02,2024-10-25,629,684,255,Medium,P6,,,Medium,https://www.youtube.com/results?search_query=flutter+fair,"android, code-push, dart, dynamic, dynamic-widget, flutter",A Flutter package used to update widget tree dynamically. Fair提供一整套Flutter动态化解决方案,Build better Flutter UI with Fair,fair,Planned
167,flutter_pulltorefresh,peng8350/flutter_pulltorefresh,https://github.com/peng8350/flutter_pulltorefresh,UI/Components,Dart,2738,759,171,2018-05-01,2023-12-17,942,684,256,Medium,P6,,https://pub.dev/packages/flutter_pulltorefresh,Medium,https://www.youtube.com/results?search_query=flutter+flutter-pulltorefresh,,a widget provided to the flutter scroll component drop-down refresh and pull up load.,Build better Flutter UI with flutter_pulltorefresh,flutter-pulltorefresh,Planned
168,rinf,cunarist/rinf,https://github.com/cunarist/rinf,UI/Components,Rust,2738,112,34,2023-02-15,2026-06-23,23,2738,115,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+rinf,"android, app, cross-platform, dart, ffi, flutter","Rust for native business logic, Flutter for flexible and beautiful GUI",Build better Flutter UI with rinf,rinf,Planned
169,TIMSDK,TencentCloud/TIMSDK,https://github.com/TencentCloud/TIMSDK,UI/Components,Objective-C,2725,2728,396,2019-01-17,2026-06-15,31,2316,128,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+timsdk,"android, chat-api, chat-sdk, chat-ui-components, chat-uikit, flutter","Free Chat SDK (IM SDK) — 1,000 MAU/month free forever with push notifications & no concurrency limits. Build in-app messaging with chat API, UIKit & send messag",Build better Flutter UI with TIMSDK,timsdk,Planned
170,flutter_app,shichunlei/flutter_app,https://github.com/shichunlei/flutter_app,Backend/Data,Dart,2702,512,9,2018-12-09,2023-03-22,1212,676,257,Medium,P6,,https://pub.dev/packages/flutter_app,Low,https://www.youtube.com/results?search_query=flutter+flutter-app,"api, dart, dialog, douban-movie, flutter, http",🔥🔥🔥本项目包括各种基本控件使用（Text、TextField、Icon、Image、Listview、Gridview、Picker、Stepper、Dialog、Slider、Row、Appbar、Sizebox、BottomSheet、Chip、Dismissible、FlutterLogo、Check、S,Data & backend in Flutter using flutter_app,flutter-app,Planned
171,agent-plugins,flutter/agent-plugins,https://github.com/flutter/agent-plugins,Library/Tooling,Dart,2684,156,30,2026-02-25,2026-07-14,2,2684,116,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+agent-plugins,,,agent-plugins: a Flutter developer's guide,agent-plugins,Planned
172,authpass,authpass/authpass,https://github.com/authpass/authpass,Library/Tooling,Dart,2678,274,164,2019-08-22,2026-06-09,37,2276,131,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+authpass,"android, contributions-welcome, dart, dartlang, debian, flutter",AuthPass - Password Manager based on Flutter for all platforms. Keepass 2.x (KDBX 3 and KDBX 4) compatible.,authpass: a Flutter developer's guide,authpass,Planned
173,flutter_local_notifications,MaikuB/flutter_local_notifications,https://github.com/MaikuB/flutter_local_notifications,Library/Tooling,Dart,2656,1562,124,2018-03-25,2026-07-05,11,2656,117,High,P3,,https://pub.dev/packages/flutter_local_notifications,Low,https://www.youtube.com/results?search_query=flutter+flutter-local-notifications,"android, dart, flutter, flutter-plugin, ios, linux","A Flutter plugin for displaying local notifications on Android, iOS, macOS, Linux and Windows",flutter_local_notifications: a Flutter developer's guide,flutter-local-notifications,Planned
174,flutter-action,subosito/flutter-action,https://github.com/subosito/flutter-action,Library/Tooling,Shell,2599,264,24,2019-08-13,2026-04-30,77,2209,136,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-action,"actions, dart, flutter, github-actions","Flutter environment for use in GitHub Actions. It works on Linux, Windows, and macOS.",flutter-action: a Flutter developer's guide,flutter-action,Planned
175,flutter_cached_network_image,Baseflow/flutter_cached_network_image,https://github.com/Baseflow/flutter_cached_network_image,State management,Dart,2583,733,331,2017-12-02,2024-09-26,658,646,261,Medium,P6,,https://pub.dev/packages/flutter_cached_network_image,Medium,https://www.youtube.com/results?search_query=flutter+flutter-cached-network-image,"baseflow, caching, flutter, image, imageprovider","Download, cache and show images in a flutter app",State management in Flutter with flutter_cached_network_image: a practical guide,flutter-cached-network-image,Planned
